Title,URLs
,http://52.66.50.41/?p=1178,
,http://52.66.50.41/?p=1181,
" ग्रहणी / अल्सरेटिव कोलाइटिस(IBS) के लिए आहार दिनचर्या        ",http://52.66.50.41/2018/08/02/diet-plan-for-ulcerative-colitis/,
" चिकन गुनिया के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-chikungunya/,
" ट्यूमर के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-tumor/,
" थेलेसेमिया /अप्लास्टिक एनेमिया के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-aplastic-anemia-and-thalassemia/,
" नेत्र विकार के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-eye-disorder/,
" परिणाम शूल (अल्सर) के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-ulcer/,
" बच्चो में श्वास विकार /अस्थमा के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-kids-respiratory/,
" मिरगी के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-epilepsy/,
" वृक्क (किडनी) विकार के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-kidney-disorder/,
" शुक्राणु अल्पता /यौन दुर्बलता /शुक्राणु हीनता के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-oligospermia-azoospermia/,
" श्वास विकार /अस्थमा  के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-asthma/,
" संधिगतवात के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-osteoarthritis/,
" स्त्री रोग /बांझपन /गर्भाशय की गाँठ के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-fibroid-cysts-and-infertility/,
" स्वित्र  के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-vitiligo/,
" स्वेत प्रदर के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-leucorrhoea/,
" ह्रदय रोग के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/02/diet-plan-for-cardiac-disorder/,
"10 best headphones for running",http://52.66.50.41/2017/07/10/10-best-headphones-for-running/,
"10 Things you shouldn&#8217;t do this Fall",http://52.66.50.41/2017/07/09/volkswagen-beetle-car-review/,
"5 reasons to call a real estate agent",http://52.66.50.41/2017/07/10/5-reasons-to-call-a-real-estate-agent/,
"Auto Draft",http://52.66.50.41/?p=1866,
"Auto Draft",http://52.66.50.41/?p=1635,
"Auto Draft",http://52.66.50.41/?p=1153,
"Auto Draft",http://52.66.50.41/?p=1154,
"Auto Draft",http://52.66.50.41/?p=1155,
"Auto Draft",http://52.66.50.41/?p=1156,
"Auto Draft",http://52.66.50.41/?p=1176,
"Auto Draft",http://52.66.50.41/?p=1177,
"Auto Draft",http://52.66.50.41/?p=1179,
"Auto Draft",http://52.66.50.41/?p=1180,
"Auto Draft",http://52.66.50.41/?p=1692,
"Auto Draft",http://52.66.50.41/?p=1187,
"Auto Draft",http://52.66.50.41/?p=1194,
"Auto Draft",http://52.66.50.41/?p=1717,
"Auto Draft",http://52.66.50.41/?p=1745,
"Auto Draft",http://52.66.50.41/?p=1750,
"Auto Draft",http://52.66.50.41/?p=1751,
"Blue Is The Warmest Color",http://52.66.50.41/2017/07/09/blue-is-the-warmest-color/,
"Britain will spend billions on real estate in 2017",http://52.66.50.41/2017/07/10/chinese-will-spend-billions-on-real-estate-in-2017/,
"Cardiff ranks low in green spaces league table",http://52.66.50.41/2017/07/10/cardiff-ranks-low-in-green-spaces-league-table/,
"Fitness: What it takes to tackle the Tour de France",http://52.66.50.41/2017/07/10/fitness-what-it-takes-to-tackle-the-tour-de-france/,
"Food Trends &#038; More to Follow",http://52.66.50.41/2017/03/20/fashion-just-had-its-most-racially-diverse-season-ever-according-to-a-new-report/,
"Hello world!",http://52.66.50.41/2018/07/18/hello-world/,
"How Does an Editor Think And Feel?",http://52.66.50.41/2017/02/19/a-classic-example-of-video-type-post-on-wordpress-theme-2/,
"How to future proof your knees",http://52.66.50.41/2017/07/10/how-to-future-proof-your-knees/,
"Is VR Slowly Taking Over 2017?",http://52.66.50.41/2017/03/23/kate-middleton-dazzles-in-paris-with-three-outfit-changes-within-hours/,
"Jane Fonda Bought a Toy in Ellen Show &#038; Internet Loses Mind",http://52.66.50.41/2017/03/20/how-does-an-editor-think-and-feel/,
"Milo Yiannopoulos sues over cancelled book deal",http://52.66.50.41/2017/07/09/milo-yiannopoulos-sues-over-cancelled-book-deal/,
"Nokia &#8216;regrets&#8217; health app backlash",http://52.66.50.41/2017/07/10/nokia-regrets-health-app-backlash/,
"Philosophers on Art from Kant to the Postmodernist",http://52.66.50.41/2017/07/09/swimming-is-a-reset-button/,
"Real estate internet scams: know the warning signs",http://52.66.50.41/2017/07/10/real-estate-internet-scams-know-the-warning-signs/,
"RISE 2017: US Tech Firms Are Doubling Down",http://52.66.50.41/2017/07/10/rise-2017-us-tech-firms-are-doubling-down/,
"Rookie judge seeks healthy options at Taste of Buffalo",http://52.66.50.41/2017/07/10/rookie-judge-seeks-healthy-options-at-taste-of-buffalo/,
"Spring reconstructs, with a great deal of liberty",http://52.66.50.41/2017/03/20/donna-lee-making-a-comeback/,
"Superdrug owner looks to expand in UK",http://52.66.50.41/2017/07/09/superdrug-owner-looks-to-expand-in-uk/,
"Tasty secret to a long, healthy life",http://52.66.50.41/2017/07/10/secret-to-a-long-healthy-life/,
"The Times They Are A Changin&#8217;",http://52.66.50.41/2017/03/20/kellyanne-conway-admits-she-helped-a-friend-get-and-pay-for-an-abortion/,
"Vic real estate agents caught underquoting",http://52.66.50.41/2017/07/10/vic-real-estate-agents-caught-underquoting/,
"Video game tech at play in self-driving cars",http://52.66.50.41/2017/07/10/video-game-tech-at-play-in-self-driving-cars/,
"Volkswagen Beetle: car review",http://52.66.50.41/2017/03/23/the-1-colour-girls-are-most-worried-about-wearing-in-fashion-week/,
"What if all journalists wrote like tech journalists?",http://52.66.50.41/2017/07/10/what-if-all-journalists-wrote-like-tech-journalists/,
"अकरकरा (आकारकरभ)",http://52.66.50.41/?p=13,
"अकरकरा (आकारकरभ)",http://52.66.50.41/2018/07/23/akarkara/,
अखरोट,http://52.66.50.41/2018/07/24/walnut/,
अगरु,http://52.66.50.41/2018/07/24/agaru/,
अगस्त,http://52.66.50.41/2018/07/24/agast/,
अंगूर,http://52.66.50.41/2018/07/23/angoor/,
"अग्नितुण्डी वटी",http://52.66.50.41/2018/07/25/agnitundi-vati/,
अजमोदा,http://52.66.50.41/2018/07/24/ajmoda/,
"अजमोदादि चूर्ण",http://52.66.50.41/2018/08/02/ajmodadi-churna/,
"अजवाइन खुरासानी",http://52.66.50.41/2018/07/24/ajwain-khurasani/,
अज़वायन,http://52.66.50.41/2018/07/24/ajwain/,
अंजीर,http://52.66.50.41/2018/07/23/anjeer/,
अतिबला,http://52.66.50.41/2018/07/25/atibala/,
"अतिसार (दस्त) के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-diarhoea-loose-motion/,
अतीस,http://52.66.50.41/2018/07/24/atees/,
अधपुष्पी,http://52.66.50.41/2018/07/24/adhpushpi/,
अनानास,http://52.66.50.41/2018/07/24/pineapple/,
अनार,http://52.66.50.41/2018/07/24/anar/,
अपराजिता,http://52.66.50.41/2018/07/24/aprajita/,
अपामार्ग,http://52.66.50.41/2018/07/24/apamarg/,
"अभयारिष्ट (अर्श)",http://52.66.50.41/2018/08/02/abhayarishta/,
अमरबेल,http://52.66.50.41/2018/07/24/amarbel/,
अमरूद,http://52.66.50.41/2018/07/24/amrud/,
अमलतास,http://52.66.50.41/2018/07/24/amaltas/,
"अम्ल पित्त के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-acidity/,
"अरणी बड़ी",http://52.66.50.41/2018/07/24/aradi-badi/,
अरलु,http://52.66.50.41/2018/07/24/aralu/,
"अरारूट (तीखुर भेद)",http://52.66.50.41/2018/07/24/ararut/,
अर्जुन,http://52.66.50.41/2018/07/24/arjun/,
"अर्श के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-piles/,
"अर्शोघ्नी वटी",http://52.66.50.41/2018/07/25/arshoghni-vati/,
अलसी,http://52.66.50.41/2018/07/24/alsi/,
"अवटुग्रथि शोथ (थायरॉइड) के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-thyroid-gland-disorder/,
अशोक,http://52.66.50.41/2018/07/23/ashok/,
"अश्वगन्धा (असगंध)",http://52.66.50.41/2018/07/24/ashwagandha/,
"अष्टांग योग",http://52.66.50.41/2018/08/11/yogaastang-yog/,
"अस्थमा के लिए घरेलु नुस्खे",http://52.66.50.41/2018/08/12/asthma-ke-liye-gharule-nuskhe/,
अस्थिसंहार,http://52.66.50.41/2018/07/25/asthisanhar/,
आक,http://52.66.50.41/2018/07/24/aak/,
आम,http://52.66.50.41/2018/07/23/mango/,
"आमवात  के लिए आहार दिनचर्या",http://52.66.50.41/2018/08/07/diet-plan-for-rheumatoid-arthritis/,
"आमा हल्दी",http://52.66.50.41/2018/07/25/aama-haldi/,
आम्रातक,http://52.66.50.41/2018/07/24/aamratak/,
"आयुर्वेद का महत्व",http://52.66.50.41/2018/08/02/asr-what-ayurveda-signifies/,
"आयुर्वेद चिकित्सा के विषय क्षेत्र एवं विविध अंग (अष्टांग आयुर्वेद)",http://52.66.50.41/2018/08/02/asr-ayurveda-diversifed-areas-and-eight-branches/,
"आयुर्वेदिक चिकित्सा पद्धति के मुख्य लक्ष्य",http://52.66.50.41/2018/08/02/asr-primary-goals-of-ayurvedic-treatment/,
"आयुर्वेदीय चिकित्सा की विशेषताएँ",http://52.66.50.41/2018/08/02/asr-unique-features-of-ayurvedic-treatment/,
"आरुक (आडू)",http://52.66.50.41/2018/07/23/aaruk-aadu/,
